DATE,WILL5000IND
2020/1/1,.
2020/1/2,154.7
2020/1/3,153.76
2020/1/6,154.27
2020/1/7,153.9
2020/1/8,154.63
2020/1/9,155.62
2020/1/10,155.18
2020/1/13,156.33
2020/1/14,156.21
2020/1/15,156.51
2020/1/16,157.89
2020/1/17,158.37
2020/1/20,.
2020/1/21,157.95
2020/1/22,158.01
2020/1/23,158.21
2020/1/24,156.74
2020/1/27,154.34
2020/1/28,155.87
2020/1/29,155.72
2020/1/30,156.23
2020/1/31,153.51
2020/2/3,154.71
2020/2/4,157.08
2020/2/5,158.66
2020/2/6,159.13
2020/2/7,158.28
2020/2/10,159.47
2020/2/11,159.84
2020/2/12,160.91
2020/2/13,160.8
2020/2/14,161.11
2020/2/17,.
2020/2/18,160.74
2020/2/19,161.53
2020/2/20,161.07
2020/2/21,159.38
2020/2/24,154.12
2020/2/25,149.36
2020/2/26,148.58
2020/2/27,142.16
2020/2/28,140.93
2020/3/2,147.14
2020/3/3,143.16
2020/3/4,148.98
2020/3/5,143.99
2020/3/6,141.44
2020/3/9,130.39
2020/3/10,136.63
2020/3/11,129.67
2020/3/12,117.14
2020/3/13,127.82
2020/3/16,112.12
2020/3/17,118.64
2020/3/18,111.8
2020/3/19,113.04
2020/3/20,108.24
2020/3/23,105.22
2020/3/24,115.13
2020/3/25,116.71
2020/3/26,123.94
2020/3/27,119.82
2020/3/30,123.57
2020/3/31,121.73
2020/4/1,116.12
2020/4/2,118.53
2020/4/3,116.53
2020/4/6,124.83
2020/4/7,124.75
2020/4/8,129.19
2020/4/9,131.45
2020/4/10,.
2020/4/13,129.99
2020/4/14,133.9
2020/4/15,130.86
2020/4/16,131.54
2020/4/17,135.18
2020/4/20,132.86
2020/4/21,128.84
2020/4/22,131.78
2020/4/23,131.86
2020/4/24,133.72
2020/4/27,136.08
2020/4/28,135.55
2020/4/29,139.47
2020/4/30,137.87
2020/5/1,133.83
2020/5/4,134.45
2020/5/5,135.69
2020/5/6,134.83
2020/5/7,136.55
2020/5/8,139.15
2020/5/11,139.09
2020/5/12,136.08
2020/5/13,133.48
2020/5/14,135.02
2020/5/15,135.66
2020/5/18,140.24
2020/5/19,138.77
2020/5/20,141.22
2020/5/21,140.28
2020/5/22,140.71
2020/5/25,.
2020/5/26,142.63
2020/5/27,144.9
2020/5/28,144.35
2020/5/29,145.04
2020/6/1,145.81
2020/6/2,147.01
2020/6/3,149.22
2020/6/4,148.75
2020/6/5,152.65
2020/6/8,154.79
2020/6/9,153.43
2020/6/10,152.37
2020/6/11,143.26
2020/6/12,145.3
2020/6/15,146.77
2020/6/16,149.56
2020/6/17,148.86
2020/6/18,149
2020/6/19,148.21
2020/6/22,149.19
2020/6/23,149.78
2020/6/24,145.81
2020/6/25,147.48
2020/6/26,143.9
2020/6/29,146.15
2020/6/30,148.44
2020/7/1,149.1
2020/7/2,149.79
2020/7/3,.
2020/7/6,152.18
2020/7/7,150.49
2020/7/8,151.75
2020/7/9,150.85
2020/7/10,152.53
2020/7/13,150.85
2020/7/14,152.87
2020/7/15,154.61
2020/7/16,154
2020/7/17,154.48
2020/7/20,155.84
2020/7/21,156.13
2020/7/22,157.02
2020/7/23,155.16
2020/7/24,154.04
2020/7/27,155.33
2020/7/28,154.26
2020/7/29,156.38
2020/7/30,155.87
2020/7/31,156.84
2020/8/3,158.17
2020/8/4,158.8
2020/8/5,159.97
2020/8/6,160.85
2020/8/7,161.02
2020/8/10,161.46
2020/8/11,160.14
2020/8/12,162.35
2020/8/13,162.15
2020/8/14,162.11
2020/8/17,162.74
2020/8/18,163.03
2020/8/19,162.33
2020/8/20,162.88
2020/8/21,163.36
2020/8/24,164.95
2020/8/25,165.48
2020/8/26,167.01
2020/8/27,167.37
2020/8/28,168.51
2020/8/31,168.31
2020/9/1,169.63
2020/9/2,171.94
2020/9/3,165.84
2020/9/4,164.48
2020/9/7,.
2020/9/8,159.75
2020/9/9,162.98
2020/9/10,160.29
2020/9/11,160.25
2020/9/14,162.79
2020/9/15,163.67
2020/9/16,163.08
2020/9/17,161.65
2020/9/18,160.01
2020/9/21,158.08
2020/9/22,159.65
2020/9/23,155.7
2020/9/24,156.18
2020/9/25,158.82
2020/9/28,161.5
2020/9/29,160.75
2020/9/30,162
2020/10/1,163.24
2020/10/2,161.84
2020/10/5,164.88
2020/10/6,162.76
2020/10/7,165.62
2020/10/8,167.03
2020/10/9,168.46
2020/10/12,171.05
2020/10/13,170.07
2020/10/14,168.98
2020/10/15,168.86
2020/10/16,168.73
2020/10/19,166.09
2020/10/20,166.79
2020/10/21,166.27
2020/10/22,167.35
2020/10/23,167.98
2020/10/26,164.89
2020/10/27,164.35
2020/10/28,158.7
2020/10/29,160.59
2020/10/30,158.44
2020/11/2,160.41
2020/11/3,163.49
2020/11/4,166.95
2020/11/5,170.34
2020/11/6,170.23
2020/11/9,172.19
2020/11/10,172.12
2020/11/11,173.47
2020/11/12,171.77
2020/11/13,174.15
2020/11/16,176.33
2020/11/17,175.88
2020/11/18,174.06
2020/11/19,174.96
2020/11/20,173.94
2020/11/23,175.26
2020/11/24,178.03
2020/11/25,177.93
2020/11/26,.
2020/11/27,178.51
2020/11/30,177.5
2020/12/1,179.45
2020/12/2,179.7
2020/12/3,179.94
2020/12/4,181.75
2020/12/7,181.6
2020/12/8,182.32
2020/12/9,180.65
2020/12/10,180.84
2020/12/11,180.5
2020/12/14,179.96
2020/12/15,182.41
2020/12/16,182.62
2020/12/17,183.91
2020/12/18,183.39
2020/12/21,182.86
2020/12/22,182.84
2020/12/23,183.08
2020/12/24,183.61
2020/12/25,.
2020/12/28,184.77
2020/12/29,184.1
2020/12/30,184.55
2020/12/31,185.45
2021/1/1,.
2021/1/4,182.74
2021/1/5,184.23
2021/1/6,185.7
2021/1/7,188.71
2021/1/8,189.61
2021/1/11,188.59
2021/1/12,189.11
2021/1/13,189.32
2021/1/14,189.02
2021/1/15,187.59
2021/1/18,.
2021/1/19,189.18
2021/1/20,191.67
2021/1/21,191.61
2021/1/22,191.36
2021/1/25,191.94
2021/1/26,191.42
2021/1/27,186.54
2021/1/28,188.32
2021/1/29,184.84
2021/2/1,188.02
2021/2/2,190.72
2021/2/3,190.98
2021/2/4,193.22
2021/2/5,194.2
2021/2/8,195.97
2021/2/9,195.94
2021/2/10,195.87
2021/2/11,196.24
2021/2/12,197.2
2021/2/15,.
2021/2/16,196.95
2021/2/17,196.67
2021/2/18,195.58
2021/2/19,195.8
2021/2/22,194.01
2021/2/23,194
2021/2/24,196.29
2021/2/25,191.17
2021/2/26,190.48
2021/3/1,195.18
2021/3/2,193.31
2021/3/3,190.65
2021/3/4,187.71
2021/3/5,191.27
2021/3/8,190.28
2021/3/9,193.25
2021/3/10,194.56
2021/3/11,197.02
2021/3/12,197.39
2021/3/15,198.77
2021/3/16,198.08
2021/3/17,198.7
2021/3/18,195.33
2021/3/19,195.49
2021/3/22,196.59
2021/3/23,194.49
2021/3/24,192.95
2021/3/25,194.25
2021/3/26,197.44
2021/3/29,196.65
2021/3/30,196.48
2021/3/31,197.48
2021/4/1,200
2021/4/2,.
2021/4/5,202.6
2021/4/6,202.53
2021/4/7,202.51
2021/4/8,203.6
2021/4/9,205
2021/4/12,204.96
2021/4/13,205.68
2021/4/14,205.03
